Title,Author,Gitenberg Status,Gitenberg URL,Status,Epub generated (by Raymond),Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Good Cover?,RTC Eh Cover,Notes,Need to Add to CAN Submit List,CAN REQUEST DATE,"Name in rtc/books.json, Official Name",ISBN 13,(Trello) Tagged for ePUB gen Process w/ Cover (YES/NO),(Trello) Tagged for ePUB gen Process (YES/NO),CAN Cover (count),CAN Cover (Yes/No),Does ePub generated have cover?,Formatting Complexity,Formatting Status,Formatting Notes
The Awakening,Kate Chopin,ASCIIDOC,https://github.com/GITenberg/The-Awakening-and-Selected-Short-Stories_160,,,,,,X,YES,,Ed ,,,The Awakening,,YES,YES,1,yes,yes,LOW,,
The Belly of Paris,Emile Zola,ASCIIDOC,https://github.com/GITenberg/The-Fat-and-the-Thin_5744,,,,,,X,YES,,,,,,,YES,YES,0,,no,,,
The Brothers Karamazov,Fyodor Dostoevsky,Needs Build,https://github.com/GITenberg/The-Brothers-Karamazov_28054,,,YES,X,,,YES,,,,,The Brothers Karamazov,,YES,YES,5,yes,yes,,,
The Call of the Wild,Jack London,ASCIIDOC,https://github.com/GITenberg/The-Call-of-the-Wild_215,SHIPPED,,,X,,,YES,,,,,Call of the Wild,,YES,YES,16,yes,yes,,,
The Communist Manifesto,Karl Marx and Friedrich Engels,ASCIIDOC,https://github.com/GITenberg/The-Communist-Manifesto_61,,,,,,X,YES,,,,,,,YES,YES,0,,no,,,
The Count of Monte Cristo,Alexandre Dumas,ASCIIDOC,https://github.com/GITenberg/The-Count-of-Monte-Cristo_1184,,,,X,,,YES,,,,,The Count of Monte Cristo,,YES,YES,11,yes,yes,,,
The Federalist Papers,Alexander Hamilton / James Madison / John Jay,ASCIIDOC,https://github.com/GITenberg/The-Federalist-Papers_1404,,,,,,,YES,,Ed Gaither Working,,,,,YES,YES,0,,,,,
The Good Soldier: A Tale of Passion,Ford Madox Ford,ASCIIDOC,https://github.com/GITenberg/The-Good-Soldier_2775,,,,,X,,YES,,,,,,,y,y,4,yes,,,,
The Hunchback of Notre Dame,Victor Hugo,ASCIIDOC,https://github.com/GITenberg/The-Hunchback-of-Notre-Dame_6539,,,,X,,,YES,,,,,The Hunchback of Notre Dame,,YES,YES,15,yes,,,,
The Idiot,Fyodor Dostoyevsky,ASCIIDOC,https://github.com/GITenberg/The-Idiot_2638,SHIPPED,,,,,,YES,,Eric did,,,,,YES,YES,0,,no,,,
The Importance of Being Earnest,Oscar Wilde,ASCIIDOC,https://github.com/GITenberg/The-Importance-of-Being-Earnest_26226,,,,,,X,YES,,,,,,,YES,YES,0,,,,,
